trade_id,original_id,original,pattern,eur_value,usd_value,doge_value,timestamp,taker_side,wallet_usd_value
f7f2871e-3e99-48b5-8701-1ae3c38e5dd2,,1,CDLBELTHOLD_Bull,0,100,27087.7915323564,2019-07-06 11:00:00,1,10000
e29b32b4-73f0-441b-9290-d93843ca81bb,f7f2871e-3e99-48b5-8701-1ae3c38e5dd2,0,,0,99.0031692716094,27087.7915323564,2019-07-06 12:00:00,0,9999.00316927161
6d13a4b4-8061-4e22-b202-4444dee5b616,,1,CDLHARAMI_Bear,0,100,27360.529699855,2019-07-06 12:00:00,0,9999.00316927161
80d039d6-35c4-4772-80ce-b1e11bb401d0,6d13a4b4-8061-4e22-b202-4444dee5b616,0,,0,99.6990341733016,27360.529699855,2019-07-06 13:00:00,1,9999.30413509831
01063b09-1e34-4250-97ac-601a2646b918,,1,CDLHIKKAKE_Bull,0,100,27443.1241252504,2019-07-06 13:00:00,1,9999.30413509831
0609e532-bd79-4f25-a372-df1ba780341b,01063b09-1e34-4250-97ac-601a2646b918,0,,0,100.990696780921,27443.1241252504,2019-07-06 14:00:00,0,10000.2948318792
8e859018-82ee-4643-8067-90bc49ef3383,,1,CDLBELTHOLD_Bull,0,100,27173.9130434783,2019-07-06 14:00:00,1,10000.2948318792
ede759c8-b0fd-4687-b1b8-1904581e3127,8e859018-82ee-4643-8067-90bc49ef3383,0,,0,99.7065217391306,27173.9130434783,2019-07-06 15:00:00,0,10000.0013536184
c2f540c7-88b0-402a-9561-f7454697ad7c,,1,CDLBELTHOLD_Bull,0,100,27173.9130434783,2019-07-06 17:00:00,1,10000.0013536184
477cfa83-a929-4ff5-813f-90a213fbd78b,c2f540c7-88b0-402a-9561-f7454697ad7c,0,,0,99.717391304348,27173.9130434783,2019-07-06 18:00:00,0,9999.71874492271
8ef801bf-2800-4a7a-84cd-7d95042cb993,,1,CDLHANGINGMAN_Bear,0,100,27250.9265315021,2019-07-06 18:00:00,0,9999.71874492271
